               hetero_est  error_est
13_TX2016_043    0.015853   0.010342
42_TX2016_046    0.012114   0.009876
59_TX2016_048    0.010275   0.011022
6_TX2017_027     0.016929   0.010515
82_TX2016_049    0.010552   0.009660
8_TX2017_028     0.020348   0.010031
Bermuda_100      0.010553   0.007429
Bermuda_103      0.012236   0.007638
Bermuda_15       0.012143   0.007070
Bermuda_19       0.022148   0.010936
Bermuda_28       0.014018   0.009286
Bermuda_30       0.013441   0.007960
Bermuda_54       0.015167   0.011542
Bermuda_55       0.018823   0.006847
Bermuda_63       0.011183   0.009127
Bermuda_65       0.011476   0.008933
Bermuda_67       0.012225   0.007461
Bermuda_68       0.013569   0.009433
Bermuda_69       0.014360   0.008310
Bermuda_79       0.013827   0.012212
Bermuda_8        0.012896   0.007998
Bermuda_80       0.011536   0.010488
Bermuda_81       0.014281   0.009211
Bermuda_83       0.014463   0.007027
Bermuda_84       0.012201   0.009674
Bermuda_85       0.010653   0.009438
Bermuda_94       0.011000   0.008792
Guam_104460      0.014548   0.007500
Guam_104461      0.014680   0.008895
Guam_104464      0.014448   0.007357
Guam_104465      0.016428   0.007687
South_Africa     0.015264   0.007200
