              clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens  nsites nhetero heterozygosity
13_TX2016_043         203003            194279              153                0          5782 1648348    7766        0.00471
42_TX2016_046          99758             95915               47                0          3110 1214327    5477        0.00451
59_TX2016_048          93409             90043               42                0          2622  988159    4505        0.00456
6_TX2017_027          216153            206611              168                0          6341 1720192    7912        0.00460
82_TX2016_049          33984             32546               13                0          1282  581414    2488        0.00428
8_TX2017_028          436346            409833              467                0         16997 4443070   22057        0.00496
Bermuda_100           191361            179652              120                0          9722 3546124   13415        0.00378
Bermuda_103           160256            150309              131                0          7757 2840112   10765        0.00379
Bermuda_15            120439            113075              104                0          5641 1970469    7322        0.00372
Bermuda_19            190964            182305              248                0          4390  640831    4620        0.00721
Bermuda_28            115132            110447              108                0          3339 1196055    5546        0.00464
Bermuda_30            163859            153936              181                0          6880 2211893    8869        0.00401
Bermuda_54            114925            110764               95                0          2753  864957    4817        0.00557
Bermuda_55            313869            291011              503                0         15056 4196501   18437        0.00439
Bermuda_63            124526            117144              157                0          4987 1659745    6774        0.00408
Bermuda_65            127306            120453               82                0          5348 1910177    7105        0.00372
Bermuda_67            210977            194783              228                0         13033 4955348   18462        0.00373
Bermuda_68            187468            177886              181                0          6487 2089756    9792        0.00469
Bermuda_69            238693            225400              239                0          9339 2884422   12682        0.00440
Bermuda_79            108421            104934               67                0          2428  785093    4608        0.00587
Bermuda_8             145454            135951              169                0          6703 2280232    9680        0.00425
Bermuda_80            159280            152405              106                0          5069 1710402    7595        0.00444
Bermuda_81            178380            168050              209                0          6936 2066314    9275        0.00449
Bermuda_83            176898            166028              191                0          7599 2406930    9943        0.00413
Bermuda_84            198775            189663              114                0          6930 2299620    9482        0.00412
Bermuda_85            107137            102200               41                0          4273 1689346    6070        0.00359
Bermuda_94            115528            110055               77                0          4422 1672642    5923        0.00354
Guam_104460            90296             83571               92                0          5865 2209623   11876        0.00537
Guam_104461            85791             80919               68                0          4184 1575677    8691        0.00552
Guam_104464            72260             67281               79                0          4359 1713420    9004        0.00525
Guam_104465           160025            148397              152                0          9585 3167727   18318        0.00578
South_Africa           88315             83182               63                0          4250 1466423    8013        0.00546
