            reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
Bermuda_15    2591935                  80001                 213740                 341464                1020011                   168                      4886              2586881
Bermuda_19    1555702                  71606                 438322                 359443                 754661                   113                     66655              1488934
Bermuda_28    5478100                 218299                 252543                 561407                1705583                   414                     10694              5466992
Bermuda_30    2940245                  94304                 311969                 459007                1229956                   213                     34201              2905831
Bermuda_54    3892497                 157140                 216354                 412093                1239267                   270                      8447              3883780
Bermuda_55    6629955                 225584                 816714                 992166                2798842                   485                     83312              6546158
Bermuda_63    1814210                  60558                 246585                 303858                 790024                   137                     29490              1784583
Bermuda_65    2975746                  94562                 212222                 360083                1092092                   218                      8579              2966949
Bermuda_67    6643315                 234744                 394509                 769369                2300949                   501                     12910              6629904
Bermuda_68    3981159                 142566                 345206                 546635                1603318                   291                     14377              3966491
Bermuda_69    8996284                 326585                 552535                1039777                3176174                   618                     15186              8980480
Bermuda_79    3444035                 130934                 185677                 363020                1106919                   227                     10152              3433656
Bermuda_8     1903198                  63115                 273738                 316399                 897442                   127                     13356              1889715
Bermuda_80   10150637                 394772                 400082                 989615                3151768                   681                     12777             10137179
Bermuda_81    1808886                  62379                 345536                 387090                 963125                   154                     53904              1754828
Bermuda_83    2573675                  72370                 340533                 461753                1188366                   199                     32399              2541077
