               hetero_est  error_est
13_TX2016_043    0.015853   0.010342
42_TX2016_046    0.012114   0.009876
59_TX2016_048    0.010275   0.011022
6_TX2017_027     0.016929   0.010515
82_TX2016_049    0.010552   0.009660
8_TX2017_028     0.020348   0.010031
Bermuda_100      0.010553   0.007429
Bermuda_103      0.012236   0.007638
Bermuda_84       0.012201   0.009674
Bermuda_85       0.010653   0.009438
Bermuda_94       0.011000   0.008792
Guam_104460      0.014548   0.007500
Guam_104461      0.014680   0.008895
Guam_104464      0.014448   0.007357
Guam_104465      0.016428   0.007687
South_Africa     0.015264   0.007200
