              clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens  nsites nhetero heterozygosity
13_TX2016_043         203003            194279              153                0          5782 1648350    7768        0.00471
42_TX2016_046          99758             95915               47                0          3110 1214327    5477        0.00451
59_TX2016_048          93409             90043               43                0          2621  986290    4378        0.00444
6_TX2017_027          216153            206611              168                0          6341 1720192    7912        0.00460
82_TX2016_049          33984             32546               13                0          1282  581414    2488        0.00428
8_TX2017_028          436346            409833              467                0         16997 4443070   22057        0.00496
Bermuda_100           191361            179652              120                0          9722 3546124   13415        0.00378
Bermuda_103           160256            150309              131                0          7757 2840112   10765        0.00379
Bermuda_84            198775            189663              114                0          6930 2299619    9482        0.00412
Bermuda_85            107137            102200               41                0          4273 1689346    6070        0.00359
Bermuda_94            115528            110055               77                0          4422 1672642    5923        0.00354
Guam_104460            90296             83571               92                0          5865 2209623   11876        0.00537
Guam_104461            85791             80919               68                0          4184 1575677    8691        0.00552
Guam_104464            72260             67281               79                0          4359 1713420    9004        0.00525
Guam_104465           160025            148397              152                0          9585 3167728   18319        0.00578
South_Africa           88315             83182               63                0          4250 1466423    8013        0.00546
