               reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
13_TX2016_043    2314090                  83097                 306127                 272850                1018041                   183                     37208              2276699
42_TX2016_046    2625730                  90346                 128936                 240486                 918682                   147                      4079              2621504
59_TX2016_048    2508914                  86598                 133339                 239518                 897485                   171                      5165              2503578
6_TX2017_027     1449142                  60296                 299816                 181117                 691193                   103                     38718              1410321
82_TX2016_049     414245                  11524                  26650                  52313                 191960                    37                      2775               411433
8_TX2017_028    11423322                 433021                 897915                1089592                4308766                   770                     51161             11371391
Bermuda_100     13257461                 466515                 455876                1197044                4675056                   878                     23938             13232645
Bermuda_103      2926800                  83573                 257305                 350202                1268405                   213                     39695              2886892
Bermuda_84       3229842                 104055                 263567                 365828                1377966                   210                     18156              3211476
Bermuda_85       1713390                  54625                  97871                 182828                 676879                    94                      3327              1709969
Bermuda_94       3481245                 116345                 184021                 315978                1303045                   255                     15455              3465535
Guam_104460      6935928                 224177                 218265                 645279                2511055                   448                      5967              6929513
Guam_104461      6294242                 215058                 206841                 554979                2231101                   400                      7368              6286474
Guam_104464      3828726                 121529                 136161                 406204                1521128                   256                      4322              3824148
Guam_104465     12720657                 423028                 427394                1192630                4582125                   810                     13513             12706334
South_Africa     6778201                 201835                 219718                1852209                4129823                   419                     10811              6766971
