sample state  reads_raw  reads_passed_filter  refseq_mapped_reads  refseq_unmapped_reads  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
13_TX2016_043      7    2314090              2276699               590406                1686293          203003             10849    0.015853   0.010342           5782              3279
42_TX2016_046      7    2625730              2621504               262858                2358646           99758              4305    0.012114   0.009876           3110              2009
59_TX2016_048      7    2508914              2503578               237785                2265793           93409              3752    0.010275   0.011022           2621              1818
6_TX2017_027       7    1449142              1410321               629930                 780391          216153             12053    0.016929   0.010515           6341              3174
82_TX2016_049      7     414245               411433                90606                 320827           33984              1540    0.010552   0.009660           1282               906
8_TX2017_028       7   11423322             11371391              1762685                9608706          436346             38193    0.020348   0.010031          16997              5121
Bermuda_100        7   13257461             13232645               779220               12453425          191361             13577    0.010553   0.007429           9722              4583
Bermuda_103        7    2926800              2886892               719567                2167325          160256             11729    0.012236   0.007638           7757              4035
Bermuda_84         7    3229842              3211476               664025                2547451          198775             11031    0.012201   0.009674           6930              4106
Bermuda_85         7    1713390              1709969               327186                1382783          107137              5721    0.010653   0.009438           4273              2729
Bermuda_94         7    3481245              3465535               359492                3106043          115528              6213    0.011000   0.008792           4422              2919
Guam_104460        7    6935928              6929513               448564                6480949           90296              7191    0.014548   0.007500           5865              2689
Guam_104461        7    6294242              6286474               356079                5930395           85791              5334    0.014680   0.008895           4184              2146
Guam_104464        7    3828726              3824148               356916                3467232           72260              5287    0.014448   0.007357           4359              2187
Guam_104465        7   12720657             12706334               811268               11895066          160025             13003    0.016428   0.007687           9585              3516
South_Africa       7    6778201              6766971               466603                6300368           88315              5621    0.015264   0.007200           4250              1583
