               hetero_est  error_est
13_TX2016_043    0.006218   0.004456
42_TX2016_046    0.005858   0.004764
59_TX2016_048    0.005586   0.005082
6_TX2017_027     0.008558   0.004084
82_TX2016_049    0.006157   0.005128
8_TX2017_028     0.007394   0.004745
Bermuda_100      0.005014   0.004596
Bermuda_103      0.006228   0.004738
Bermuda_15       0.005970   0.003621
Bermuda_19       0.009389   0.003273
Bermuda_28       0.006275   0.004579
Bermuda_30       0.005495   0.004690
Bermuda_54       0.007211   0.005522
Bermuda_55       0.007220   0.003885
Bermuda_63       0.005809   0.005002
Bermuda_65       0.005777   0.004837
Bermuda_67       0.007058   0.004907
Bermuda_68       0.005633   0.004917
Bermuda_69       0.005300   0.004194
Bermuda_79       0.006778   0.006105
Bermuda_8        0.006093   0.004511
Bermuda_80       0.006222   0.005666
Bermuda_81       0.006129   0.004755
Bermuda_83       0.005671   0.003951
Bermuda_84       0.005121   0.004793
Bermuda_85       0.006271   0.004780
Bermuda_94       0.005221   0.004884
Guam_104460      0.011023   0.005712
Guam_104461      0.010672   0.006170
Guam_104464      0.010224   0.005852
Guam_104465      0.012214   0.005497
South_Africa     0.011663   0.005766
