              clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
13_TX2016_043         372588            363431               16                0          9053  4029035    9606        0.00238
42_TX2016_046         160496            153810                9                0          6647  3270744    8201        0.00251
59_TX2016_048         145230            139945                8                0          5253  2544492    6291        0.00247
6_TX2017_027          423861            414060               22                0          9634  4062323    9231        0.00227
82_TX2016_049          71094             68092                0                0          2989  1499672    3824        0.00255
8_TX2017_028          735436            713011               55                0         22046  8930332   24988        0.00280
Bermuda_100           301693            284047               30                0         17518  8337445   20237        0.00243
Bermuda_103           303447            286513               17                0         16776  7913197   20170        0.00255
Bermuda_15            239661            228494               19                0         11053  5068773   11249        0.00222
Bermuda_19            372072            365864               19                0          6018  2005869    4005        0.00200
Bermuda_28            177119            171285               17                0          5773  2751109    6942        0.00252
Bermuda_30            304718            291442               31                0         13107  6016841   14208        0.00236
Bermuda_54            177538            173434                7                0          4048  1820110    5241        0.00288
Bermuda_55            585767            559680               95                0         25466 10296168   27007        0.00262
Bermuda_63            241587            231865               15                0          9607  4374288   10816        0.00247
Bermuda_65            232189            220875               12                0         11216  5414413   12943        0.00239
Bermuda_67            405633            373977               81                0         31136 15044074   42471        0.00282
Bermuda_68            321527            310382               23                0         11041  5105532   13903        0.00272
Bermuda_69            415313            400749               23                0         14426  6375187   15299        0.00240
Bermuda_79            159701            156292                5                0          3366  1535045    4761        0.00310
Bermuda_8             300194            285560               26                0         14466  6494080   16926        0.00261
Bermuda_80            251200            242721               20                0          8399  3937168   10335        0.00262
Bermuda_81            344152            331617               24                0         12357  5347186   13516        0.00253
Bermuda_83            326085            312008               19                0         13920  6371229   15458        0.00243
Bermuda_84            364138            351622               12                0         12414  5739506   13904        0.00242
Bermuda_85            223755            214048                8                0          9638  4713090   10890        0.00231
Bermuda_94            194240            184955               14                0          9228  4471937   10414        0.00233
Guam_104460           132534            122105               71                0         10210  4697474   22548        0.00480
Guam_104461           118456            111222               42                0          7108  3257734   15551        0.00477
Guam_104464           112983            104219               51                0          8605  3957501   18253        0.00461
Guam_104465           239066            225070              100                0         13597  5800093   29240        0.00504
South_Africa          125284            118196               40                0          6787  2900105   13992        0.00482
